Arquivo,Status Paridade,Erros Humanos Detectados,Tracao Python,Tracao Excel,Divergencia
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 66.xlsm,OK,Nenhum,115.5200,115.5200,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 67.xlsm,OK,Nenhum,115.5200,115.5200,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 68.xlsm,OK,Nenhum,166.0200,166.0200,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 69.xlsm,OK,Nenhum,123.4800,123.4800,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 70.xlsm,OK,Nenhum,223.1500,223.1500,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 71.xlsm,OK,Nenhum,158.0700,158.0700,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 72.xlsm,OK,Nenhum,257.7400,257.7400,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 73.xlsm,OK,Nenhum,18.4900,18.4900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 74.xlsm,OK,Nenhum,18.4900,18.4900,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 75.xlsm,OK,Nenhum,166.0200,166.0200,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 76.xlsm,OK,Nenhum,292.2456,292.2456,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 77.xlsm,FAILED,Nenhum,256.4599,241.6605,14.799366
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 78.xlsm,OK,Nenhum,151.0668,151.0668,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 79.xlsm,FAILED,Nenhum,906.1550,819.3349,86.820091
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 80.xlsm,FAILED,Nenhum,1560.8879,1534.0621,26.825811
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 81.xlsm,OK,Nenhum,623.3986,623.3986,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 82.xlsm,OK,Nenhum,81.7021,81.7021,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 83.xlsm,FAILED,Nenhum,551.1188,516.4325,34.686306
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 84.xlsm,FAILED,Nenhum,445.8585,417.1839,28.674617
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 85.xlsm,FAILED,Nenhum,651.7153,617.3878,34.327459
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 86.xlsm,FAILED,Nenhum,172.7890,175.4319,2.642954
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 87.xlsm,OK,Nenhum,170.2097,170.2097,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 88.xlsm,OK,Nenhum,256.0402,256.0402,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 89.xlsm,OK,Nenhum,449.6160,449.6160,0.000000
AP COSMO LDA NOVA 03 - PROJETO 3 - POSTE 90.xlsm,OK,Nenhum,373.0643,373.0643,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 1A.xlsm,OK,Nenhum,167.4100,167.4100,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 1B.xlsm,OK,Nenhum,179.1411,179.1411,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 1C.xlsm,FAILED,Nenhum,323.1366,307.8911,15.245551
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 2A.xlsm,FAILED,Nenhum,798.6033,698.9671,99.636270
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 2B.xlsm,OK,Nenhum,616.5782,616.5782,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 3A.xlsm,OK,Nenhum,603.6918,603.6918,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 3B.xlsm,OK,Nenhum,227.3108,227.3108,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 3C.xlsm,FAILED,Nenhum,991.4753,949.7242,41.751097
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 4A.xlsm,OK,Nenhum,311.0600,311.0600,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 4B.xlsm,OK,Nenhum,379.6883,379.6883,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 4C.xlsm,OK,Nenhum,264.2209,264.2209,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 5A.xlsm,FAILED,Nenhum,538.0262,497.4777,40.548441
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 5B.xlsm,OK,Nenhum,413.6214,413.6214,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 6A.xlsm,FAILED,SOBRECARGA: Esforco(636.32) > Resistencia(600.0),636.6085,636.3230,0.285486
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 6B.xlsm,OK,SOBRECARGA: Esforco(564.60) > Resistencia(300.0),564.5994,564.5994,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 7A.xlsm,FAILED,Nenhum,195.4224,195.8043,0.381972
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 7B.xlsm,OK,Nenhum,301.9402,301.9402,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 8A.xlsm,OK,Nenhum,539.7802,539.7802,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 8B.xlsm,FAILED,Nenhum,938.7188,836.0382,102.680544
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 91.xlsm,OK,SOBRECARGA: Esforco(371.77) > Resistencia(300.0),371.7709,371.7709,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 92.xlsm,FAILED,Nenhum,444.6287,438.6013,6.027397
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 93.xlsm,FAILED,Nenhum,1553.0303,1524.6032,28.427093
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 94.xlsm,FAILED,Nenhum,960.4010,923.2040,37.197052
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 95.xlsm,FAILED,Nenhum,290.5265,260.5679,29.958665
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 96.xlsm,OK,Nenhum,181.5724,181.5724,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 97.xlsm,OK,Nenhum,104.8812,104.8812,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 98.xlsm,FAILED,Nenhum,269.3581,270.8440,1.485906
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 99.xlsm,FAILED,Nenhum,957.6690,1012.6369,54.967987
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 9A.xlsm,OK,Nenhum,752.8199,752.8199,0.000000
AP COSMO LDA NOVA 03 - PROJETO 4 - POSTE 9B.xlsm,FAILED,Nenhum,67.7162,59.6552,8.060984
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 1D.xlsm,FAILED,Nenhum,393.0659,373.6697,19.396109
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 1E.xlsm,OK,Nenhum,178.7616,178.7616,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 1F.xlsm,OK,Nenhum,166.5233,166.5233,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 2D.xlsm,OK,Nenhum,278.1285,278.1285,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 2E.xlsm,OK,Nenhum,151.9000,151.9000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 2F.xlsm,FAILED,Nenhum,813.1853,817.3082,4.122914
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 3D.xlsm,FAILED,Nenhum,424.2345,390.7217,33.512725
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 3E.xlsm,OK,Nenhum,293.6500,293.6500,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 3F.xlsm,FAILED,Nenhum,608.8609,571.6905,37.170420
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 4D.xlsm,FAILED,Nenhum,492.0145,423.3067,68.707797
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 4E.xlsm,OK,Nenhum,150.1000,150.1000,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 4F.xlsm,OK,Nenhum,833.9207,833.9207,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 5C.xlsm,OK,Nenhum,154.4277,154.4277,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 5D.xlsm,OK,Nenhum,235.1934,235.1934,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 5E.xlsm,OK,Nenhum,439.3110,439.3110,0.000000
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 5F.xlsm,FAILED,Nenhum,636.0671,607.2305,28.836532
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 6C.xlsm,FAILED,Nenhum,284.1621,255.4586,28.703491
AP COSMO LDA NOVA 03 - PROJETO 5 - POSTE 6D.xlsm,OK,Nenhum,390.1453,390.1453,0.000000
